source,target,value
Tertiary education,Short-cycle tertiary education,0.10081173081958628
Tertiary education,Bachelors or equivalent level,0.5659858601728202
Tertiary education,Masters or equivalent level,0.29942393296674524
Tertiary education,Doctoral or equivalent level,0.03377847604084839
Short-cycle tertiary education,School and work-based vocational programmes,0.020816967792615867
Short-cycle tertiary education,General or academic education,0.04883477350091647
Short-cycle tertiary education,Vocational or professional education,0.05197695731866981
Bachelors or equivalent level,Academic education,0.32875098193244306
Bachelors or equivalent level,Professional education,0.23723487824037706
Masters or equivalent level,Academic education,0.1590075936108929
Masters or equivalent level,Professional education,0.14048180151872217
